title,scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,Units
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ1,CornAEZ1,0.39201,0.56519,0.607036,0.675417,0.751191,0.861052,0.878408,1.0161,1.08747,1.12716,1.18328,1.2349,1.31465,1.30442,1.38015,1.31562,1.37078,1.39941,1.40739,1.41635,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ10,CornAEZ10,0.23646,0.275406,0.295797,0.311437,0.347941,0.375594,0.3633,0.402016,0.410403,0.414014,0.413967,0.414468,0.454223,0.438965,0.445399,0.458266,0.460248,0.473252,0.480694,0.505011,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ11,CornAEZ11,0.167938,0.195598,0.21008,0.22529,0.254469,0.276878,0.262633,0.292182,0.312652,0.323794,0.334596,0.345975,0.330677,0.356159,0.372928,0.369275,0.352379,0.395342,0.373134,0.407645,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ12,CornAEZ12,0.151681,0.176664,0.189744,0.211675,0.233324,0.245074,0.239091,0.255541,0.293946,0.280221,0.287755,0.324075,0.298861,0.300609,0.359348,0.342449,0.325491,0.385571,0.374723,0.381733,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ2,CornAEZ2,0.157922,0.148516,0.159512,0.174959,0.193819,0.222033,0.240363,0.26369,0.280253,0.290827,0.308698,0.319183,0.330539,0.333677,0.345759,0.334886,0.343071,0.354612,0.356993,0.35696,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ3,CornAEZ3,0.114227,0.133041,0.142891,0.154377,0.167906,0.193091,0.19563,0.216566,0.226114,0.238252,0.246352,0.255117,0.26116,0.267517,0.274126,0.270656,0.279214,0.280946,0.279167,0.286013,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ4,CornAEZ4,0.119032,0.186208,0.199995,0.215058,0.230529,0.245305,0.248129,0.267244,0.277147,0.295256,0.303329,0.315622,0.317325,0.325521,0.331092,0.330731,0.340245,0.347451,0.342884,0.364147,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ5,CornAEZ5,0.143371,0.233237,0.250506,0.261361,0.28374,0.308481,0.329582,0.356816,0.364314,0.385155,0.386637,0.394648,0.395858,0.407435,0.423329,0.420183,0.425559,0.440279,0.437392,0.44522,
ag tech yield,"RCP4p5_exp2_coupled,date=2015-19-8T00:31:52-07:00",Africa,Corn,CornAEZ6,CornAEZ6,0.106785,0.124373,0.133582,0.141684,0.153732,0.163611,0.171942,0.186921,0.186752,0.207515,0.205708,0.212129,0.218295,0.221352,0.225715,0.227211,0.226713,0.236755,0.238277,0.233629,
